subcounty_pk,subcounty_code,subcounty_name,district_code,district_name,constituency_code, constituency_name
SC3-4,4,BUSARU,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-11,11,BUSUNGA TOWN COUNCIL,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-12,12,BUTAMA-MITUNDA TOWN COUNCIL,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-1,1,HARUGALI,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-13,13,KAGHEMA TOWN COUNCIL,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-9,9,KAGUGU,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-2,2,KASITU,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-6,6,KIRUMYA,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-7,7,KISUBBA,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-11,11,MABERE,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-13,13,MBATYA,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-8,8,MIRAMBI,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-3,3,NDUGUTU,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-7,7,NGAMBA,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-14,14,NGITE,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-10,10,NTANDI TOWN COUNCIL,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-5,5,NTOTORO,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-5,5,NYAHUKA TOWN COUNCIL,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC3-6,6,SINDILA,3,BUNDIBUGYO,215,BUGHENDERA COUNTY
SC3-10,10,TOKWE,3,BUNDIBUGYO,14,BWAMBA COUNTY
SC117-1,1,BUHEESI,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-12,12,BUHEESI TOWN COUNCIL,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-8,8,KABONERO,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-14,14,KAKINGA TOWN COUNCIL,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-5,5,KATEEBWA,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-2,2,KIBIITO,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-6,6,KIBIITO TOWN COUNCIL,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-3,3,KISOMORO,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-10,10,KIYOMBYA,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-11,11,KYAMUKUBE TOWN COUNCIL,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-13,13,NYAKIGUMBA TOWN COUNCIL,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-9,9,RUBONA TOWN COUNCIL,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-4,4,RWIMI,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC117-7,7,RWIMI TOWN COUNCIL,117,BUNYANGABU,51,BUNYANGABU COUNTY
SC4-5,5,BITOOMA TOWN COUNCIL,4,BUSHENYI,19,IGARA COUNTY WEST
SC4-1,1,BUMBAIRE,4,BUSHENYI,18,IGARA COUNTY EAST
SC4-1,1,CENTRAL DIVISION,4,BUSHENYI,225,BUSHENYI -ISHAKA MUNICIPALITY
SC4-5,5,IBAARE,4,BUSHENYI,18,IGARA COUNTY EAST
SC4-2,2,ISHAKA DIVISION,4,BUSHENYI,225,BUSHENYI -ISHAKA MUNICIPALITY
SC4-2,2,KAKANJU,4,BUSHENYI,19,IGARA COUNTY WEST
SC4-6,6,KIZINDA TOWN COUNCIL,4,BUSHENYI,19,IGARA COUNTY WEST
SC4-2,2,KYABUGIMBI,4,BUSHENYI,18,IGARA COUNTY EAST
SC4-4,4,KYABUGIMBI TOWN COUNCIL,4,BUSHENYI,18,IGARA COUNTY EAST
SC4-3,3,KYAMUHUNGA,4,BUSHENYI,19,IGARA COUNTY WEST
SC4-1,1,KYAMUHUNGA TOWN COUNCIL,4,BUSHENYI,19,IGARA COUNTY WEST
SC4-3,3,KYEIZOOBA,4,BUSHENYI,18,IGARA COUNTY EAST
SC4-7,7,NKANGA,4,BUSHENYI,19,IGARA COUNTY WEST
SC4-4,4,NYABUBARE,4,BUSHENYI,19,IGARA COUNTY WEST
SC4-3,3,NYAKABIRIZI DIVISION,4,BUSHENYI,225,BUSHENYI -ISHAKA MUNICIPALITY
SC4-6,6,RUHUMURO,4,BUSHENYI,18,IGARA COUNTY EAST
SC4-7,7,RWENTUHA TOWN COUNCIL,4,BUSHENYI,18,IGARA COUNTY EAST
SC42-1,1,BUHEHE,42,BUSIA,348,SAMIA BUGWE CENTRAL COUNTY
SC42-1,1,BULUMBI,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-6,6,BUSIME,42,BUSIA,212,SAMIA BUGWE COUNTY SOUTH
SC42-3,3,BUSITEMA,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-4,4,BUTEBA,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-6,6,BUYANGA,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-5,5,DABANI,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-1,1,EASTERN DIVISION,42,BUSIA,226,BUSIA MUNICIPALITY
SC42-2,2,LUMINO,42,BUSIA,212,SAMIA BUGWE COUNTY SOUTH
SC42-9,9,LUMINO-MAJANJI TOWN COUNCIL,42,BUSIA,212,SAMIA BUGWE COUNTY SOUTH
SC42-3,3,LUNYO,42,BUSIA,212,SAMIA BUGWE COUNTY SOUTH
SC42-8,8,MAJANJI,42,BUSIA,212,SAMIA BUGWE COUNTY SOUTH
SC42-4,4,MASABA,42,BUSIA,348,SAMIA BUGWE CENTRAL COUNTY
SC42-5,5,MASAFU,42,BUSIA,348,SAMIA BUGWE CENTRAL COUNTY
SC42-10,10,MASAFU TOWN COUNCIL,42,BUSIA,348,SAMIA BUGWE CENTRAL COUNTY
SC42-7,7,MASINYA,42,BUSIA,348,SAMIA BUGWE CENTRAL COUNTY
SC42-8,8,NAMUNGODI TOWN COUNCIL,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-7,7,SIKUDA,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-2,2,TIIRA TOWN COUNCIL,42,BUSIA,211,SAMIA BUGWE COUNTY NORTH
SC42-2,2,WESTERN DIVISION,42,BUSIA,226,BUSIA MUNICIPALITY
SC60-1,1,BUDUMBA,60,BUTALEJA,236,BUNYOLE WEST COUNTY
SC60-10,10,BUFUJJA-KACHONGA TOWN COUNCIL,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC60-2,2,BUSABA,60,BUTALEJA,236,BUNYOLE WEST COUNTY
SC60-4,4,BUSABA TOWN COUNCIL,60,BUTALEJA,236,BUNYOLE WEST COUNTY
SC60-10,10,BUSABI,60,BUTALEJA,236,BUNYOLE WEST COUNTY
SC60-3,3,BUSOLWE,60,BUTALEJA,236,BUNYOLE WEST COUNTY
SC60-9,9,BUSOLWE TOWN COUNCIL,60,BUTALEJA,236,BUNYOLE WEST COUNTY
SC60-4,4,BUTALEJA,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC60-8,8,BUTALEJA TOWN COUNCIL,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC60-11,11,HIMUTU,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC60-5,5,KACHONGA,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC60-6,6,MAZIMASA,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC60-1,1,NABIGANDA TOWN COUNCIL,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC60-7,7,NAWANJOFU,60,BUTALEJA,236,BUNYOLE WEST COUNTY
SC60-12,12,NAWEYO,60,BUTALEJA,208,BUNYOLE EAST COUNTY
SC99-1,1,BUDDE,99,BUTAMBALA,157,BUTAMBALA COUNTY
SC99-2,2,BULO,99,BUTAMBALA,157,BUTAMBALA COUNTY
SC99-6,6,GOMBE TOWN COUNCIL,99,BUTAMBALA,157,BUTAMBALA COUNTY
SC99-3,3,KALAMBA,99,BUTAMBALA,157,BUTAMBALA COUNTY
SC99-7,7,KALAMBA TOWN COUNCIL,99,BUTAMBALA,157,BUTAMBALA COUNTY
SC99-4,4,KIBIBI TOWN COUNCIL,99,BUTAMBALA,157,BUTAMBALA COUNTY
SC99-5,5,NGANDO,99,BUTAMBALA,157,BUTAMBALA COUNTY
SC118-1,1,BUTEBO,118,BUTEBO,188,BUTEBO COUNTY
SC118-15,15,BUTEBO TOWN COUNCIL,118,BUTEBO,188,BUTEBO COUNTY
SC118-13,13,KABELAI,118,BUTEBO,188,BUTEBO COUNTY
SC118-2,2,KABWANGASI,118,BUTEBO,188,BUTEBO COUNTY
SC118-4,4,KABWANGASI TOWN COUNCIL,118,BUTEBO,188,BUTEBO COUNTY
SC118-9,9,KACHURU,118,BUTEBO,188,BUTEBO COUNTY
SC118-11,11,KADOKOLENE,118,BUTEBO,188,BUTEBO COUNTY
SC118-3,3,KAKORO,118,BUTEBO,188,BUTEBO COUNTY
SC118-7,7,KAKORO TOWN COUNCIL,118,BUTEBO,188,BUTEBO COUNTY
SC118-6,6,KANGINIMA,118,BUTEBO,188,BUTEBO COUNTY
SC118-16,16,KANGINIMA TOWN COUNCIL,118,BUTEBO,188,BUTEBO COUNTY
SC118-12,12,KANYUM,118,BUTEBO,188,BUTEBO COUNTY
SC118-14,14,KAPUNYASI,118,BUTEBO,188,BUTEBO COUNTY
SC118-8,8,MAIZIMASA,118,BUTEBO,188,BUTEBO COUNTY
SC118-5,5,PETETE,118,BUTEBO,188,BUTEBO COUNTY
SC118-17,17,PETETE TOWN COUNCIL,118,BUTEBO,188,BUTEBO COUNTY
SC118-10,10,PUTTI,118,BUTEBO,188,BUTEBO COUNTY
SC90-1,1,BUGAYA,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-2,2,BUSAMUZI,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-5,5,BUVUMA TOWN COUNCIL,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-6,6,BUWOOYA,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-3,3,BWEEMA,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-7,7,LUBYA TOWN COUNCIL,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-8,8,LWAJE,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-9,9,LYABAANA TOWN COUNCIL,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC90-4,4,NAIRAMBI,90,BUVUMA,175,BUVUMA ISLANDS COUNTY
SC83-1,1,BUGAYA,83,BUYENDE,217,BUDIOPE EAST COUNTY
SC83-1,1,BUKUNGU TOWN COUNCIL,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC83-8,8,BUYANJA,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC83-2,2,BUYENDE,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC83-6,6,BUYENDE TOWN COUNCIL,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC83-4,4,GUMPI,83,BUYENDE,217,BUDIOPE EAST COUNTY
SC83-5,5,IRUNDU,83,BUYENDE,217,BUDIOPE EAST COUNTY
SC83-2,2,IRUNDU TOWN COUNCIL,83,BUYENDE,217,BUDIOPE EAST COUNTY
SC83-3,3,KAGULU,83,BUYENDE,217,BUDIOPE EAST COUNTY
SC83-4,4,KIDERA,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC83-3,3,KIDERA TOWN COUNCIL,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC83-7,7,NDOLWA,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC83-6,6,NGANDHO,83,BUYENDE,217,BUDIOPE EAST COUNTY
SC83-5,5,NKONDO,83,BUYENDE,69,BUDIOPE WEST COUNTY
SC74-7,7,ADEKNINO,74,DOKOLO,252,DOKOLO SOUTH COUNTY
SC74-8,8,ADOK,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-12,12,AGWATA TOWN COUNCIL,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-1,1,AGWATTA,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-9,9,AMWOMA,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-13,13,BATA TOWN COUNCIL,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-2,2,BATTA,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-3,3,DOKOLO,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-6,6,DOKOLO TOWN COUNCIL,74,DOKOLO,252,DOKOLO SOUTH COUNTY
SC74-4,4,KANGAI,74,DOKOLO,252,DOKOLO SOUTH COUNTY
SC74-1,1,KANGAI TOWN COUNCIL,74,DOKOLO,252,DOKOLO SOUTH COUNTY
SC74-5,5,KWERA,74,DOKOLO,252,DOKOLO SOUTH COUNTY
SC74-10,10,OKWALONGWEN,74,DOKOLO,99,DOKOLO NORTH COUNTY
SC74-11,11,OKWONGODUL,74,DOKOLO,252,DOKOLO SOUTH COUNTY
SC139-1,1,FORT PORTAL CENTRAL DIVISION,139,FORT PORTAL CITY,58,FORT PORTAL MUNICIPALITY
SC139-1,1,FORT PORTAL NORTH DIVISION,139,FORT PORTAL CITY,297,FORT PORTAL NORTH DIVISION
SC91-1,1,KABULASOKE,91,GOMBA,254,GOMBA WEST COUNTY
SC91-5,5,KANONI TOWN COUNCIL,91,GOMBA,158,GOMBA EAST COUNTY
SC91-2,2,KIFAMPA,91,GOMBA,254,GOMBA WEST COUNTY
SC91-4,4,KYAYI,91,GOMBA,254,GOMBA WEST COUNTY
SC91-2,2,KYEGONZA,91,GOMBA,158,GOMBA EAST COUNTY
SC91-3,3,MADDU,91,GOMBA,254,GOMBA WEST COUNTY
SC91-5,5,MADDU TOWN COUNCIL,91,GOMBA,254,GOMBA WEST COUNTY
SC91-4,4,MPENJA,91,GOMBA,158,GOMBA EAST COUNTY
SC91-1,1,TTABA-BBINZI,91,GOMBA,158,GOMBA EAST COUNTY
SC5-1,1,AWACH,5,GULU,23,ASWA COUNTY
SC5-2,2,BUNGATIRA,5,GULU,23,ASWA COUNTY
SC5-8,8,OMEL,5,GULU,23,ASWA COUNTY
SC5-9,9,OWALO,5,GULU,23,ASWA COUNTY
SC5-10,10,OWOO,5,GULU,23,ASWA COUNTY
SC5-11,11,PAIBONA,5,GULU,23,ASWA COUNTY
SC5-3,3,PAICHO,5,GULU,23,ASWA COUNTY
SC5-4,4,PALARO,5,GULU,23,ASWA COUNTY
SC5-5,5,PATIKO,5,GULU,23,ASWA COUNTY
SC5-12,12,PUKONY,5,GULU,23,ASWA COUNTY
SC5-6,6,UNYAMA,5,GULU,23,ASWA COUNTY
SC137-1,1,BARDEGE-LAYIBI DIVISION,137,GULU CITY,27,BARDEGE-LAYIBI DIVISION
SC137-1,1,LAROO-PECE DIVISION,137,GULU CITY,298,LAROO-PECE DIVISION
SC6-2,2,BOMBO,6,HOIMA,264,KIGOROBYA COUNTY
SC6-1,1,BUHANIKA,6,HOIMA,28,BUGAHYA COUNTY
SC6-3,3,BULINDI TOWN COUNCIL,6,HOIMA,28,BUGAHYA COUNTY
SC6-10,10,BURARU,6,HOIMA,28,BUGAHYA COUNTY
SC6-2,2,BUSERUKA,6,HOIMA,28,BUGAHYA COUNTY
SC6-9,9,KABAALE,6,HOIMA,28,BUGAHYA COUNTY
SC6-1,1,KAPAAPI,6,HOIMA,264,KIGOROBYA COUNTY
SC6-4,4,KIGANJA,6,HOIMA,264,KIGOROBYA COUNTY
SC6-5,5,KIGOROBYA,6,HOIMA,264,KIGOROBYA COUNTY
SC6-6,6,KIGOROBYA TOWN COUNCIL,6,HOIMA,264,KIGOROBYA COUNTY
SC6-7,7,KIJONGO,6,HOIMA,264,KIGOROBYA COUNTY
SC6-3,3,KISUKUMA,6,HOIMA,264,KIGOROBYA COUNTY
SC6-7,7,KITOBA,6,HOIMA,28,BUGAHYA COUNTY
SC6-8,8,KYABIGAMBIRE,6,HOIMA,28,BUGAHYA COUNTY
SC145-1,1,HOIMA EAST DIVISION,145,HOIMA CITY,227,HOIMA EAST DIVISION
SC145-1,1,HOIMA WEST DIVISION,145,HOIMA CITY,350,HOIMA WEST DIVISION
SC61-1,1,BISHESHE DIVISION,61,IBANDA,293,IBANDA MUNICIPALITY
SC61-2,2,BUFUNDA DIVISION,61,IBANDA,293,IBANDA MUNICIPALITY
SC61-8,8,IGORORA TOWN COUNCIL,61,IBANDA,137,IBANDA COUNTY SOUTH
SC61-2,2,ISHONGORORO,61,IBANDA,136,IBANDA COUNTY NORTH
SC61-4,4,ISHONGORORO TOWN COUNCIL,61,IBANDA,136,IBANDA COUNTY NORTH
SC61-3,3,KAGONGO DIVISION,61,IBANDA,293,IBANDA MUNICIPALITY
SC61-1,1,KANYARUGIRI TOWN COUNCIL,61,IBANDA,136,IBANDA COUNTY NORTH
SC61-6,6,KEIHANGARA,61,IBANDA,137,IBANDA COUNTY SOUTH
SC61-2,2,KICUZI,61,IBANDA,137,IBANDA COUNTY SOUTH
SC61-6,6,KIJONGO,61,IBANDA,136,IBANDA COUNTY NORTH
SC61-3,3,KIKYENKYE,61,IBANDA,137,IBANDA COUNTY SOUTH
SC61-4,4,NYABUHIKYE,61,IBANDA,137,IBANDA COUNTY SOUTH
SC61-3,3,NYAMAREBE,61,IBANDA,136,IBANDA COUNTY NORTH
SC61-5,5,RUKIRI,61,IBANDA,137,IBANDA COUNTY SOUTH
SC61-7,7,RUSHANGO TOWN COUNCIL,61,IBANDA,136,IBANDA COUNTY NORTH
SC61-8,8,RWENKOBWA TOWN COUNCIL,61,IBANDA,136,IBANDA COUNTY NORTH
SC7-1,1,BULAMAGI,7,IGANGA,39,KIGULU COUNTY SOUTH
SC7-1,1,CENTRAL DIVISION,7,IGANGA,228,IGANGA MUNICIPALITY
SC7-5,5,KIDAAGO,7,IGANGA,38,KIGULU COUNTY NORTH
SC7-1,1,NABITENDE,7,IGANGA,38,KIGULU COUNTY NORTH
SC7-3,3,NAKALAMA,7,IGANGA,39,KIGULU COUNTY SOUTH
SC7-4,4,NAKIGO,7,IGANGA,39,KIGULU COUNTY SOUTH
SC7-2,2,NAMBALE,7,IGANGA,38,KIGULU COUNTY NORTH
SC7-3,3,NAMUNGALWE TOWN COUNCIL,7,IGANGA,38,KIGULU COUNTY NORTH
SC7-4,4,NAWANDALA,7,IGANGA,38,KIGULU COUNTY NORTH
SC7-5,5,NAWANYINGI,7,IGANGA,39,KIGULU COUNTY SOUTH
SC7-2,2,NORTHERN DIVISION,7,IGANGA,228,IGANGA MUNICIPALITY
SC62-1,1,BIRERE,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC62-9,9,BUGANGO TOWN COUNCIL,62,ISINGIRO,135,BUKANGA COUNTY
SC62-8,8,ENDIINZI TOWN COUNCIL,62,ISINGIRO,135,BUKANGA COUNTY
SC62-1,1,ENDINZI,62,ISINGIRO,135,BUKANGA COUNTY
SC62-4,4,ISINGIRO TOWN COUNCIL,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC62-6,6,KABEREBERE TOWN COUNCIL,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC62-2,2,KABINGO,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC62-1,1,KABUYANDA,62,ISINGIRO,325,ISINGIRO WEST COUNTY
SC62-5,5,KABUYANDA TOWN COUNCIL,62,ISINGIRO,325,ISINGIRO WEST COUNTY
SC62-7,7,KAGARAMA,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC62-7,7,KAKAMBA,62,ISINGIRO,305,BUKANGA NORTH COUNTY
SC62-10,10,KAMUBEIZI,62,ISINGIRO,139,ISINGIRO COUNTY SOUTH
SC62-7,7,KAMUBEIZI TOWN COUNCIL,62,ISINGIRO,139,ISINGIRO COUNTY SOUTH
SC62-2,2,KASHUMBA,62,ISINGIRO,305,BUKANGA NORTH COUNTY
SC62-2,2,KIKAGATE,62,ISINGIRO,139,ISINGIRO COUNTY SOUTH
SC62-8,8,KIKAGATE TOWN COUNCIL,62,ISINGIRO,139,ISINGIRO COUNTY SOUTH
SC62-3,3,MASHA,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC62-5,5,MBAARE,62,ISINGIRO,135,BUKANGA COUNTY
SC62-3,3,NGARAMA,62,ISINGIRO,305,BUKANGA NORTH COUNTY
SC62-9,9,NTUNGU,62,ISINGIRO,139,ISINGIRO COUNTY SOUTH
SC62-3,3,NYAKITUNDA,62,ISINGIRO,139,ISINGIRO COUNTY SOUTH
SC62-5,5,NYAMUYANJA,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC62-4,4,RUBOROGOTA,62,ISINGIRO,325,ISINGIRO WEST COUNTY
SC62-4,4,RUGAAGA,62,ISINGIRO,305,BUKANGA NORTH COUNTY
SC62-5,5,RUGAAGA TOWN COUNCIL,62,ISINGIRO,305,BUKANGA NORTH COUNTY
SC62-6,6,RUHIIRA TOWN COUNCIL,62,ISINGIRO,325,ISINGIRO WEST COUNTY
SC62-6,6,RUSHASHA,62,ISINGIRO,305,BUKANGA NORTH COUNTY
SC62-11,11,RUYANGA,62,ISINGIRO,139,ISINGIRO COUNTY SOUTH
SC62-10,10,RWANJOGYERA,62,ISINGIRO,135,BUKANGA COUNTY
SC62-8,8,RWETANGO,62,ISINGIRO,138,ISINGIRO COUNTY NORTH
SC8-1,1,BUSEDDE,8,JINJA,41,BUTEMBE COUNTY
SC8-2,2,BUTAGAYA,8,JINJA,42,KAGOMA COUNTY
SC8-3,3,BUWENGE,8,JINJA,306,KAGOMA NORTH COUNTY
SC8-4,4,BUWENGE TOWN COUNCIL,8,JINJA,306,KAGOMA NORTH COUNTY
SC8-5,5,BUYENGO TOWN COUNCIL,8,JINJA,306,KAGOMA NORTH COUNTY
SC8-2,2,KAKIRA TOWN COUNCIL,8,JINJA,41,BUTEMBE COUNTY
SC8-6,6,NAMAGERA TOWN COUNCIL,8,JINJA,42,KAGOMA COUNTY
SC138-1,1,JINJA NORTH DIVISION,138,JINJA CITY,299,JINJA NORTH DIVISION
SC138-1,1,JINJA SOUTH DIVISION,138,JINJA CITY,44,JINJA SOUTH DIVISION WEST
SC63-1,1,KAABONG EAST,63,KAABONG,341,DODOTH NORTH COUNTY
SC63-2,2,KAABONG TOWN COUNCIL,63,KAABONG,93,DODOTH EAST COUNTY
SC63-10,10,KAABONG WEST,63,KAABONG,93,DODOTH EAST COUNTY
SC63-4,4,KAKAMAR,63,KAABONG,93,DODOTH EAST COUNTY
SC63-3,3,KALAPATA,63,KAABONG,341,DODOTH NORTH COUNTY
SC63-2,2,KALAPATA TOWN COUNCIL,63,KAABONG,341,DODOTH NORTH COUNTY
SC63-11,11,KAMION,63,KAABONG,255,IK COUNTY
SC63-5,5,KATHILE,63,KAABONG,341,DODOTH NORTH COUNTY
SC63-8,8,KATHILE SOUTH,63,KAABONG,341,DODOTH NORTH COUNTY
SC63-6,6,KATHILE TOWN COUNCIL,63,KAABONG,341,DODOTH NORTH COUNTY
SC63-11,11,LOBONGIA,63,KAABONG,93,DODOTH EAST COUNTY
SC63-14,14,LODIKO,63,KAABONG,93,DODOTH EAST COUNTY
SC63-6,6,LOLELIA,63,KAABONG,93,DODOTH EAST COUNTY
SC63-15,15,LOLELIA SOUTH,63,KAABONG,93,DODOTH EAST COUNTY
SC63-12,12,LOTIM,63,KAABONG,341,DODOTH NORTH COUNTY
SC63-7,7,LOYORO,63,KAABONG,93,DODOTH EAST COUNTY
SC63-9,9,MORUNGOLE,63,KAABONG,255,IK COUNTY
SC63-9,9,SIDOK (KOPOTH),63,KAABONG,93,DODOTH EAST COUNTY
SC63-10,10,TIMU,63,KAABONG,255,IK COUNTY
SC9-1,1,BUHARA,9,KABALE,45,NDORWA COUNTY EAST
SC9-4,4,BUTANDA,9,KABALE,46,NDORWA COUNTY WEST
SC9-1,1,KABALE CENTRAL,9,KABALE,50,KABALE MUNICIPALITY
SC9-2,2,KABALE NORTHERN,9,KABALE,50,KABALE MUNICIPALITY
SC9-3,3,KABALE SOUTHERN,9,KABALE,50,KABALE MUNICIPALITY
SC9-2,2,KAHARO,9,KABALE,45,NDORWA COUNTY EAST
SC9-8,8,KAHUNGYE,9,KABALE,46,NDORWA COUNTY WEST
SC9-1,1,KAMUGANGUZI,9,KABALE,46,NDORWA COUNTY WEST
SC9-5,5,KATUNA TOWN COUNCIL,9,KABALE,46,NDORWA COUNTY WEST
SC9-7,7,KIBUGA,9,KABALE,46,NDORWA COUNTY WEST
SC9-2,2,KITUMBA,9,KABALE,46,NDORWA COUNTY WEST
SC9-3,3,KYANAMIRA,9,KABALE,45,NDORWA COUNTY EAST
SC9-4,4,MAZIBA,9,KABALE,45,NDORWA COUNTY EAST
SC9-3,3,RUBAYA,9,KABALE,46,NDORWA COUNTY WEST
SC9-6,6,RYAKARIMIRA TOWN COUNCIL,9,KABALE,46,NDORWA COUNTY WEST
SC10-2,2,BUSORO,10,KABAROLE,52,BURAHYA COUNTY
SC10-3,3,HAKIBALE,10,KABAROLE,52,BURAHYA COUNTY
SC10-13,13,HARUGONGO,10,KABAROLE,52,BURAHYA COUNTY
SC10-14,14,KABENDE,10,KABAROLE,52,BURAHYA COUNTY
SC10-9,9,KARANGURA,10,KABAROLE,52,BURAHYA COUNTY
SC10-8,8,KASENDA,10,KABAROLE,52,BURAHYA COUNTY
SC10-16,16,KASENDA TOWN COUNCIL,10,KABAROLE,52,BURAHYA COUNTY
SC10-19,19,KIBASI TOWN COUNCIL,10,KABAROLE,52,BURAHYA COUNTY
SC10-5,5,KICWAMBA,10,KABAROLE,52,BURAHYA COUNTY
SC10-10,10,KIJURA TOWN COUNCIL,10,KABAROLE,52,BURAHYA COUNTY
SC10-11,11,KIKO TOWN COUNCIL,10,KABAROLE,52,BURAHYA COUNTY
SC10-6,6,MUGUSU,10,KABAROLE,52,BURAHYA COUNTY
SC10-15,15,MUGUSU TOWN COUNCIL,10,KABAROLE,52,BURAHYA COUNTY
SC10-7,7,RUTEETE,10,KABAROLE,52,BURAHYA COUNTY
SC10-18,18,RWENGAJU,10,KABAROLE,52,BURAHYA COUNTY
SC54-1,1,ALWA,54,KABERAMAIDO,200,KABERAMAIDO COUNTY
SC54-6,6,APERIKIRA,54,KABERAMAIDO,200,KABERAMAIDO COUNTY
SC54-2,2,KABERAMAIDO,54,KABERAMAIDO,200,KABERAMAIDO COUNTY
SC54-5,5,KABERAMAIDO TOWN COUNCIL,54,KABERAMAIDO,200,KABERAMAIDO COUNTY
SC54-3,3,KOBULUBULU,54,KABERAMAIDO,327,OCHERO COUNTY
SC54-4,4,OCHERO,54,KABERAMAIDO,327,OCHERO COUNTY
SC54-7,7,OCHERO TOWN COUNCIL,54,KABERAMAIDO,327,OCHERO COUNTY
SC54-8,8,OKILE,54,KABERAMAIDO,327,OCHERO COUNTY
SC54-9,9,ORIAMO,54,KABERAMAIDO,200,KABERAMAIDO COUNTY
SC113-17,17,BUHUMULIRO,113,KAGADI,220,BUYAGA WEST COUNTY
SC113-10,10,BURORA,113,KAGADI,220,BUYAGA WEST COUNTY
SC113-1,1,BWIKARA,113,KAGADI,220,BUYAGA WEST COUNTY
SC113-4,4,GALIBOLEKA,113,KAGADI,220,BUYAGA WEST COUNTY
